,Factor,dtype
0,member_id,float64
1,loan_amnt,float64
2,funded_amnt,float64
3,funded_amnt_inv,float64
4,term,int64
5,int_rate,float64
6,installment,float64
7,grade,int64
8,sub_grade,int64
9,annual_inc,float64
10,dti,float64
11,delinq_2yrs,float64
12,inq_last_6mths,float64
13,mths_since_last_delinq,float64
14,mths_since_last_record,float64
15,open_acc,float64
16,pub_rec,float64
17,revol_bal,float64
18,total_acc,float64
19,out_prncp,float64
20,out_prncp_inv,float64
21,total_pymnt,float64
22,total_pymnt_inv,float64
23,total_rec_prncp,float64
24,total_rec_int,float64
25,total_rec_late_fee,float64
26,recoveries,float64
27,collection_recovery_fee,float64
28,last_pymnt_amnt,float64
29,collections_12_mths_ex_med,float64
30,mths_since_last_major_derog,float64
31,policy_code,float64
32,annual_inc_joint,float64
33,dti_joint,float64
34,verification_status_joint,float64
35,acc_now_delinq,float64
36,tot_coll_amt,float64
37,tot_cur_bal,float64
38,open_acc_6m,float64
39,open_act_il,float64
40,open_il_12m,float64
41,open_il_24m,float64
42,mths_since_rcnt_il,float64
43,total_bal_il,float64
44,il_util,float64
45,open_rv_12m,float64
46,open_rv_24m,float64
47,max_bal_bc,float64
48,all_util,float64
49,total_rev_hi_lim,float64
50,inq_fi,float64
51,total_cu_tl,float64
52,inq_last_12m,float64
53,acc_open_past_24mths,float64
54,avg_cur_bal,float64
55,bc_open_to_buy,float64
56,bc_util,float64
57,chargeoff_within_12_mths,float64
58,delinq_amnt,float64
59,mo_sin_old_il_acct,float64
60,mo_sin_old_rev_tl_op,float64
61,mo_sin_rcnt_rev_tl_op,float64
62,mo_sin_rcnt_tl,float64
63,mort_acc,float64
64,mths_since_recent_bc,float64
65,mths_since_recent_bc_dlq,float64
66,mths_since_recent_inq,float64
67,mths_since_recent_revol_delinq,float64
68,num_accts_ever_120_pd,float64
69,num_actv_bc_tl,float64
70,num_actv_rev_tl,float64
71,num_bc_sats,float64
72,num_bc_tl,float64
73,num_il_tl,float64
74,num_op_rev_tl,float64
75,num_rev_accts,float64
76,num_rev_tl_bal_gt_0,float64
77,num_sats,float64
78,num_tl_120dpd_2m,float64
79,num_tl_30dpd,float64
80,num_tl_90g_dpd_24m,float64
81,num_tl_op_past_12m,float64
82,pct_tl_nvr_dlq,float64
83,percent_bc_gt_75,float64
84,pub_rec_bankruptcies,float64
85,tax_liens,float64
86,tot_hi_cred_lim,float64
87,total_bal_ex_mort,float64
88,total_bc_limit,float64
89,total_il_high_credit_limit,float64
90,revol_bal_joint,float64
91,sec_app_earliest_cr_line,float64
92,sec_app_inq_last_6mths,float64
93,sec_app_mort_acc,float64
94,sec_app_open_acc,float64
95,sec_app_revol_util,float64
96,sec_app_open_act_il,float64
97,sec_app_num_rev_accts,float64
98,sec_app_chargeoff_within_12_mths,float64
99,sec_app_collections_12_mths_ex_med,float64
100,sec_app_mths_since_last_major_derog,float64
101,deferral_term,float64
102,hardship_amount,float64
103,hardship_length,float64
104,hardship_dpd,float64
105,orig_projected_additional_accrued_interest,float64
106,hardship_payoff_balance_amount,float64
107,hardship_last_payment_amount,float64
108,settlement_amount,float64
109,settlement_percentage,float64
110,settlement_term,float64
